source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,ra,ra_error
1355264565043431040,131.59960903219002,0.42845705,10.453175,2.8772593,257.3834721191679,0.38272035
6604147121141267712,131.55250924995755,0.027515385,6.0918646,1.3403125,344.10194140173917,0.019884847
4286249341336984576,131.27900875405268,0.039764576,12.296879,3.5128498,282.0747587449577,0.03493147
3738099879558957952,131.10134519384707,0.026954211,8.205292,2.0878701,202.50420163284346,0.022687037
2257597439718033536,130.8530774537263,0.021744039,11.911708,3.1288576,274.74325647947336,0.02238492
96331172942614528,130.823369060264,0.15318972,4.99968,1.0224853,25.62258568627586,0.12091877
6575069780231675264,130.4186009154895,0.053442273,10.46742,2.7553616,330.6269230434408,0.039663084
411413822074322432,130.28806976927032,0.4347771,4.9480124,0.9222264,17.094749861202942,0.28063285
6623351805412369024,130.27065669284806,0.03249052,11.129232,3.0147228,342.0203381724408,0.025028853
114207651462714880,130.19563405443222,0.028051848,9.467294,2.5002089,41.068881780380345,0.022260899
3828238392559860992,129.7543962369321,0.025240922,8.331761,2.2344894,153.07293731001045,0.022290116
4375233191015944192,129.64588200281264,0.017464284,6.934473,1.7076311,261.43588748671016,0.012962643
6135947032490329472,129.4287903858344,0.06204019,14.83373,4.9685793,194.7766445532381,0.053015463
2322561156529549440,129.31674036196353,0.12558402,13.142607,3.966424,6.183609706573537,0.100229315
999747822484300800,129.3014012527262,0.028304283,10.417205,2.7911243,90.29510135819429,0.02181087
4177731838628465408,129.21844952774615,0.025568604,8.519395,2.1195245,271.2841138366001,0.01982585
3365063724883180288,128.98659827505904,0.06069526,12.776403,3.7366943,104.87435115776526,0.05188215
2161121135533953536,128.30565976722806,0.03191236,11.758081,3.2589169,270.57119282072466,0.032636203
4468009917744160000,128.05461654386062,0.5101415,19.549429,3.7365513,270.1111446302847,0.40923893
4145870293808914688,125.45085476530886,0.030566534,11.863026,3.2195606,271.88396508794,0.027024418
5535361753834861312,125.30284548899108,0.02152292,12.030774,3.3734112,115.04626042327716,0.018889965
3288921720025503360,124.61980141424488,0.22457013,3.0879216,0.8058183,72.46212402119102,0.16772185
5559035514779971456,124.56954932191705,0.049491733,10.418207,2.6348133,104.4373295461301,0.0437247
5559035514776717312,124.35689454555873,0.039878186,10.381962,2.63978,104.43647190771412,0.03506969
786834302080370304,124.33777491111096,0.05490648,11.684706,3.1420422,177.7301638123558,0.023961714
